File, Rows, Columns, NonzeroEntries, Coordinate_Bytes, CSR_Bytes, SCSR_Bytes: 
oscil_dcop_05.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_06.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_07.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_08.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_09.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_10.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_11.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_12.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_13.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_14.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_15.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_16.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_17.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_18.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_19.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_20.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_21.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_22.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_23.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_24.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_25.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_26.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_27.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_28.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_29.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_30.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_31.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_32.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_33.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_34.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_35.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_36.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_37.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_38.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_39.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_40.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_41.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_42.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_43.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_44.mtx, 430, 430, 1544, 30880, 14076, 10128
