File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; SCSR_Bytes; SCSR+_Bytes
Tina_AskCal.mtx; Matrix; Coordinate; General; 11; 11; 29; Pattern; 1; 1; 2; 2; 2; 174; 140; 140; 82
Tina_AskCog.mtx; Matrix; Coordinate; General; 11; 11; 36; Pattern; 1; 1; 2; 2; 2; 216; 168; 168; 96
Tina_DisCal.mtx; Matrix; Coordinate; General; 11; 11; 41; Pattern; 1; 1; 2; 2; 2; 246; 188; 188; 106
Tina_DisCog.mtx; Matrix; Coordinate; General; 11; 11; 48; Pattern; 1; 1; 2; 2; 2; 288; 216; 216; 120
tols340.mtx; Matrix; Coordinate; General; 340; 340; 2196; Real; -202500; 1181.81; 2; 2; 4; 17568; 13858; 13858; 9466
tols90.mtx; Matrix; Coordinate; General; 90; 90; 1746; Real; -19947.1; 1181.81; 2; 2; 4; 13968; 10658; 10658; 7166
tomography.mtx; Matrix; Coordinate; General; 500; 500; 28726; Real; -5330.84; 1.70462e+07; 2; 2; 4; 229808; 173358; 173358; 173358
torso1.mtx; Matrix; Coordinate; General; 116158; 116158; 8516500; Real; -75.3676; 31.3123; 4; 4; 4; 102198000; 68596636; 51341766; 25792266
torso2.mtx; Matrix; Coordinate; General; 115967; 115967; 1033473; Real; -3.91995; 4.7106; 4; 4; 4; 12401676; 8731656; 6437824; 3337405
trans4.mtx; Matrix; Coordinate; General; 116835; 116835; 766396; Real; -98.3607; 59639.7; 4; 4; 4; 9196752; 6598512; 4933754; 3400962
trans5.mtx; Matrix; Coordinate; General; 116835; 116835; 766396; Real; -98.3607; 11287.7; 4; 4; 4; 9196752; 6598512; 4933754; 3400962
Trec10.mtx; Matrix; Coordinate; General; 106; 478; 8612; Integer; 1; 126; 2; 2; 4; 68896; 51886; 51886; 26050
Trec3.mtx; Matrix; Coordinate; General; 1; 2; 1; Pattern; 1; 1; 2; 2; 2; 6; 8; 8; 6
Trec4.mtx; Matrix; Coordinate; General; 2; 3; 3; Integer; 1; 3; 2; 2; 4; 24; 24; 24; 15
Trec5.mtx; Matrix; Coordinate; General; 3; 7; 12; Integer; 1; 4; 2; 2; 4; 96; 80; 80; 44
Trec6.mtx; Matrix; Coordinate; General; 6; 15; 40; Integer; 1; 10; 2; 2; 4; 320; 254; 254; 134
Trec7.mtx; Matrix; Coordinate; General; 11; 36; 147; Integer; 1; 15; 2; 2; 4; 1176; 906; 906; 465
Trec8.mtx; Matrix; Coordinate; General; 23; 84; 549; Integer; 1; 35; 2; 2; 4; 4392; 3342; 3342; 1695
Trec9.mtx; Matrix; Coordinate; General; 47; 201; 2147; Integer; 1; 56; 2; 2; 4; 17176; 12978; 12978; 6537
Trefethen_150.mtx; Matrix; Coordinate; Symmetric; 150; 150; 1095; Integer; 1; 863; 2; 2; 4; 17520; 12542; 12542; 8462
Trefethen_20.mtx; Matrix; Coordinate; Symmetric; 20; 20; 89; Integer; 1; 71; 2; 2; 4; 1424; 990; 990; 516
Trefethen_200.mtx; Matrix; Coordinate; Symmetric; 200; 200; 1545; Integer; 1; 1223; 2; 2; 4; 24720; 17742; 17742; 11962
Trefethen_200b.mtx; Matrix; Coordinate; Symmetric; 199; 199; 1536; Integer; 1; 1223; 2; 2; 4; 24576; 17638; 17638; 11892
Trefethen_20b.mtx; Matrix; Coordinate; Symmetric; 19; 19; 83; Integer; 1; 71; 2; 2; 4; 1328; 922; 922; 481
Trefethen_300.mtx; Matrix; Coordinate; Symmetric; 300; 300; 2489; Integer; 1; 1987; 2; 2; 4; 39824; 28670; 28670; 19314
Trefethen_500.mtx; Matrix; Coordinate; Symmetric; 500; 500; 4489; Integer; 1; 3571; 2; 2; 4; 71824; 51870; 51870; 34914
Trefethen_700.mtx; Matrix; Coordinate; Symmetric; 700; 700; 6677; Integer; 1; 5279; 2; 2; 4; 106832; 77326; 77326; 52018
TSOPF_FS_b300_c3.mtx; Matrix; Coordinate; Symmetric; 84414; 84414; 6578753; Real; -1.5e+06; 407808; 4; 4; 4; 157890072; 105425100; 79060680; 65924750
TSOPF_FS_b39_c19.mtx; Matrix; Coordinate; Symmetric; 76216; 76216; 998359; Real; -24159.1; 4370.7; 4; 4; 4; 23960616; 16125668; 12060886; 8105686
TSOPF_FS_b39_c30.mtx; Matrix; Coordinate; Symmetric; 120216; 120216; 1575639; Real; -24159.1; 4370.7; 4; 4; 4; 37815336; 25450148; 19038104; 12795784
tub100.mtx; Matrix; Coordinate; General; 100; 100; 396; Real; -1063.76; 960.4; 2; 2; 4; 3168; 2578; 2578; 1786
tub1000.mtx; Matrix; Coordinate; General; 1000; 1000; 3996; Real; -100604; 99600.4; 2; 2; 4; 31968; 25978; 25978; 21982
