ElapsedS; File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; CSR_Timing; SCSR_Bytes; SCSR_Timing; SCSR+_Bytes; CSC_Bytes; SCSC_Bytes; SCSC+_Bytes
0; md2010.mtx; Matrix; Coordinate; Symmetric; 145247; 145247; 350189; Integer; 9; 3.37338e+06; 4; 4; 4; 8404536; 6184016; 5846; 4965456; 11715; 4265078; 8402140; 5601414; 4901036
0; me2010.mtx; Matrix; Coordinate; Symmetric; 69518; 69518; 167738; Integer; 80; 6.1213e+06; 4; 4; 4; 4025712; 2961884; 2826; 2290936; 5614; 1955460; 4023972; 2682504; 2347028
0; mesh1e1.mtx; Matrix; Coordinate; Symmetric; 48; 48; 177; Real; -0.405002; 5.96844; 2; 2; 4; 2832; 1934; 4; 1934; 6; 1016; 2450; 2450; 1532
0; mesh1em1.mtx; Matrix; Coordinate; Symmetric; 48; 48; 177; Real; -9.92783; 22.3193; 2; 2; 4; 2832; 1934; 3; 1934; 6; 1016; 2450; 2450; 1532
0; mesh1em6.mtx; Matrix; Coordinate; Symmetric; 48; 48; 177; Real; -0.523367; 5.29145; 2; 2; 4; 2832; 1934; 3; 1934; 7; 1016; 2450; 2450; 1532
0; mesh2e1.mtx; Matrix; Coordinate; Symmetric; 306; 306; 1162; Real; -1.22321; 246.35; 2; 2; 4; 18592; 12722; 25; 12722; 38; 6668; 16146; 16146; 10092
0; mesh2em5.mtx; Matrix; Coordinate; Symmetric; 306; 306; 1162; Real; -0.759954; 146.824; 2; 2; 4; 18592; 12722; 22; 12722; 50; 6668; 16146; 16146; 10092
0; mesh3e1.mtx; Matrix; Coordinate; Symmetric; 289; 289; 1089; Real; 0; 5; 2; 2; 4; 17424; 11914; 14; 11914; 33; 6247; 15114; 15114; 9447
0; mesh3em5.mtx; Matrix; Coordinate; Symmetric; 289; 289; 1089; Real; 0; 3; 2; 2; 4; 17424; 11914; 13; 11914; 33; 6247; 15114; 15114; 9447
0; mhda416.mtx; Matrix; Coordinate; General; 416; 416; 8562; Real; -508.165; 2383.29; 2; 2; 4; 68496; 52206; 111; 52206; 206; 35082; 68498; 68498; 51374
0; mhdb416.mtx; Matrix; Coordinate; Symmetric; 416; 416; 1364; Real; -0.166668; 1.66667; 2; 2; 4; 21824; 14706; 19; 14706; 44; 5458; 18498; 18498; 9250
0; mk10-b1.mtx; Matrix; Coordinate; General; 630; 45; 1260; Integer; -1; 1; 2; 2; 4; 10080; 8822; 6; 8822; 18; 3782; 10084; 10084; 5044
0; mk11-b1.mtx; Matrix; Coordinate; General; 990; 55; 1980; Integer; -1; 1; 2; 2; 4; 15840; 13862; 9; 13862; 31; 5942; 15844; 15844; 7924
0; mk9-b1.mtx; Matrix; Coordinate; General; 378; 36; 756; Integer; -1; 1; 2; 2; 4; 6048; 5294; 4; 5294; 11; 2270; 6052; 6052; 3028
0; model1.mtx; Matrix; Coordinate; General; 362; 798; 3028; Real; -1; 3; 2; 2; 4; 24224; 18894; 55; 18894; 105; 9810; 24226; 24226; 15142
3; mri1.mtx; Matrix; Coordinate; General; 65536; 147456; 589824; Real; 0.0066227; 1; 4; 4; 4; 7077888; 4980740; 3130; 3931430; 10584; 1572134; 7077896; 4718608; 2359312
0; msc00726.mtx; Matrix; Coordinate; Symmetric; 726; 726; 17622; Real; -2.95379e+08; 1.62255e+09; 2; 2; 4; 281952; 208562; 928; 208562; 1281; 208562; 276146; 276146; 276146
0; mt2010.mtx; Matrix; Coordinate; Symmetric; 132288; 132288; 319334; Integer; 19; 4.60863e+07; 4; 4; 4; 7664016; 5638500; 5410; 4523036; 10932; 4523036; 7661896; 5107378; 5107378
0; mycielskian10.mtx; Matrix; Coordinate; Symmetric; 767; 767; 22196; Pattern; 1; 1; 2; 2; 2; 266352; 179104; 1902; 179104; 2637; 90320; 266356; 266356; 177572
1764; mycielskian17.mtx; Matrix; Coordinate; Symmetric; 98303; 98303; 50122871; Pattern; 1; 1; 4; 4; 2; 1002457420; 601867668; 98127037; 401376188; 91491928; 200884704; 1002457428; 601376170; 400884686
3; mycielskian2.mtx; Matrix; Coordinate; Symmetric; 2; 2; 1; Pattern; 1; 1; 2; 2; 2; 12; 14; 0; 14; 6; 10; 16; 16; 12
0; mycielskian3.mtx; Matrix; Coordinate; Symmetric; 5; 5; 5; Pattern; 1; 1; 2; 2; 2; 60; 52; 0; 52; 1; 32; 64; 64; 44
0; mycielskian4.mtx; Matrix; Coordinate; Symmetric; 11; 11; 20; Pattern; 1; 1; 2; 2; 2; 240; 184; 1; 184; 3; 104; 244; 244; 164
0; mycielskian5.mtx; Matrix; Coordinate; Symmetric; 23; 23; 71; Pattern; 1; 1; 2; 2; 2; 852; 616; 5; 616; 9; 332; 856; 856; 572
0; mycielskian6.mtx; Matrix; Coordinate; Symmetric; 47; 47; 236; Pattern; 1; 1; 2; 2; 2; 2832; 1984; 14; 1984; 28; 1040; 2836; 2836; 1892
0; mycielskian7.mtx; Matrix; Coordinate; Symmetric; 95; 95; 755; Pattern; 1; 1; 2; 2; 2; 9060; 6232; 63; 6232; 105; 3212; 9064; 9064; 6044
0; mycielskian8.mtx; Matrix; Coordinate; Symmetric; 191; 191; 2360; Pattern; 1; 1; 2; 2; 2; 28320; 19264; 262; 19264; 418; 9824; 28324; 28324; 18884
0; mycielskian9.mtx; Matrix; Coordinate; Symmetric; 383; 383; 7271; Pattern; 1; 1; 2; 2; 2; 87252; 58936; 1227; 58936; 1769; 29852; 87256; 87256; 58172
50; m_t1.mtx; Matrix; Coordinate; Symmetric; 97578; 97578; 4925574; Real; -2.32231e+11; 5.22044e+11; 4; 4; 4; 118213776; 78418876; 355948; 58856258; 492843; 58856258; 117042844; 78028572; 78028572
0; n2c6-b1.mtx; Matrix; Coordinate; General; 105; 15; 210; Integer; -1; 1; 2; 2; 4; 1680; 1472; 3; 1472; 7; 632; 1684; 1684; 844
0; n2c6-b10.mtx; Matrix; Coordinate; General; 30; 306; 330; Integer; -1; 1; 2; 2; 4; 2640; 2042; 7; 2042; 16; 722; 2644; 2644; 1324
0; n2c6-b2.mtx; Matrix; Coordinate; General; 455; 105; 1365; Integer; -1; 1; 2; 2; 4; 10920; 9102; 14; 9102; 45; 3642; 10924; 10924; 5464
0; n3c5-b1.mtx; Matrix; Coordinate; General; 45; 10; 90; Integer; -1; 1; 2; 2; 4; 720; 632; 1; 632; 3; 272; 724; 724; 364
0; n3c5-b2.mtx; Matrix; Coordinate; General; 120; 45; 360; Integer; -1; 1; 2; 2; 4; 2880; 2402; 4; 2402; 12; 962; 2884; 2884; 1444
0; n3c5-b3.mtx; Matrix; Coordinate; General; 210; 120; 840; Integer; -1; 1; 2; 2; 4; 6720; 5462; 10; 5462; 29; 2102; 6724; 6724; 3364
0; n3c5-b4.mtx; Matrix; Coordinate; General; 252; 210; 1260; Integer; -1; 1; 2; 2; 4; 10080; 8066; 15; 8066; 46; 3026; 10084; 10084; 5044
0; n3c5-b5.mtx; Matrix; Coordinate; General; 210; 252; 1260; Integer; -1; 1; 2; 2; 4; 10080; 7982; 17; 7982; 46; 2942; 10084; 10084; 5044
0; n3c5-b6.mtx; Matrix; Coordinate; General; 120; 210; 840; Integer; -1; 1; 2; 2; 4; 6720; 5282; 22; 5282; 32; 1922; 6724; 6724; 3364
0; n3c5-b7.mtx; Matrix; Coordinate; General; 30; 120; 240; Integer; -1; 1; 2; 2; 4; 1920; 1502; 5; 1502; 11; 542; 1924; 1924; 964
0; n3c6-b1.mtx; Matrix; Coordinate; General; 105; 105; 210; Integer; -1; 1; 2; 2; 4; 1680; 1472; 2; 1472; 7; 632; 1684; 1684; 844
0; n3c6-b11.mtx; Matrix; Coordinate; General; 60; 675; 720; Integer; -1; 1; 2; 2; 4; 5760; 4442; 14; 4442; 35; 1562; 5764; 5764; 2884
0; n3c6-b2.mtx; Matrix; Coordinate; General; 455; 105; 1365; Integer; -1; 1; 2; 2; 4; 10920; 9102; 15; 9102; 46; 3642; 10924; 10924; 5464
