ElapsedS; File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; SCSR_Bytes; SCSR+_Bytes; CSC_Bytes; SCSC_Bytes; SCSC+_Bytes
1; fe_tooth.mtx; Matrix; Coordinate; Symmetric; 78136; 78136; 452591; Pattern; 1; 1; 4; 4; 2; 9051820; 5743640; 3876278; 2065914; 5743640; 3876278; 2065914
10; filter3D.mtx; Matrix; Coordinate; Symmetric; 106437; 106437; 1406808; Real; -0.00710824; 0.0042906; 4; 4; 4; 33763392; 22083184; 16460930; 5632214; 22083184; 16460930; 5632214
2; finan512.mtx; Matrix; Coordinate; Symmetric; 74752; 74752; 335872; Real; -0.999999; 26.9352; 4; 4; 4; 8060928; 5074948; 3764596; 1973620; 5074948; 3764596; 1973620
0; flower_4_1.mtx; Matrix; Coordinate; General; 121; 129; 386; Pattern; 1; 1; 2; 2; 2; 2316; 1788; 1788; 1016; 1804; 1804; 1032
0; flower_5_1.mtx; Matrix; Coordinate; General; 211; 201; 602; Pattern; 1; 1; 2; 2; 2; 3612; 2832; 2832; 1628; 2812; 2812; 1608
0; flower_7_1.mtx; Matrix; Coordinate; General; 463; 393; 1178; Pattern; 1; 1; 2; 2; 2; 7068; 5640; 5640; 3284; 5500; 5500; 3144
0; flower_8_1.mtx; Matrix; Coordinate; General; 625; 513; 1538; Pattern; 1; 1; 2; 2; 2; 9228; 7404; 7404; 4328; 7180; 7180; 4104
0; football.mtx; Matrix; Coordinate; General; 35; 35; 118; Integer; 1; 12; 2; 2; 4; 944; 762; 762; 408; 750; 750; 396
0; ford2.mtx; Matrix; Coordinate; Symmetric; 100196; 100196; 322442; Pattern; 1; 1; 4; 4; 2; 6448840; 4270092; 2826658; 1536890; 4270092; 2826658; 1536890
0; freeFlyingRobot_1.mtx; Matrix; Coordinate; Symmetric; 798; 798; 2861; Real; -9.81526e+08; 3.65596e+12; 2; 2; 4; 45776; 33074; 33074; 33074; 33074; 33074; 33074
0; fs_183_1.mtx; Matrix; Coordinate; General; 183; 183; 1069; Real; -7.65e+08; 8.22724e+08; 2; 2; 4; 8552; 6782; 6782; 6782; 6782; 6782; 6782
0; fs_183_3.mtx; Matrix; Coordinate; General; 183; 183; 1069; Real; -7.65e+08; 8.45851e+08; 2; 2; 4; 8552; 6782; 6782; 6782; 6782; 6782; 6782
0; fs_183_4.mtx; Matrix; Coordinate; General; 183; 183; 1069; Real; -7.65e+08; 8.15706e+08; 2; 2; 4; 8552; 6782; 6782; 6782; 6782; 6782; 6782
0; fs_183_6.mtx; Matrix; Coordinate; General; 183; 183; 1069; Real; -7.65e+08; 8.73139e+08; 2; 2; 4; 8552; 6782; 6782; 6782; 6782; 6782; 6782
0; fs_541_1.mtx; Matrix; Coordinate; General; 541; 541; 4285; Real; -31.3099; 31.3089; 2; 2; 4; 34280; 26794; 26794; 13939; 26794; 26794; 13939
0; fs_541_2.mtx; Matrix; Coordinate; General; 541; 541; 4285; Real; -794379; 794353; 2; 2; 4; 34280; 26794; 26794; 22509; 26794; 26794; 22509
0; fs_541_3.mtx; Matrix; Coordinate; General; 541; 541; 4285; Real; -5.99826e+06; 5.99826e+06; 2; 2; 4; 34280; 26794; 26794; 22509; 26794; 26794; 22509
0; fs_541_4.mtx; Matrix; Coordinate; General; 541; 541; 4285; Real; -798774; 798777; 2; 2; 4; 34280; 26794; 26794; 22509; 26794; 26794; 22509
0; fs_680_1.mtx; Matrix; Coordinate; General; 680; 680; 2646; Real; -4.83016e+13; 4.83096e+13; 2; 2; 4; 21168; 17238; 17238; 17238; 17238; 17238; 17238
0; fs_680_2.mtx; Matrix; Coordinate; General; 680; 680; 2646; Real; -4.83016e+13; 4.83023e+13; 2; 2; 4; 21168; 17238; 17238; 17238; 17238; 17238; 17238
0; fs_680_3.mtx; Matrix; Coordinate; General; 680; 680; 2646; Real; -4.83016e+13; 4.83016e+13; 2; 2; 4; 21168; 17238; 17238; 17238; 17238; 17238; 17238
0; fs_760_1.mtx; Matrix; Coordinate; General; 760; 760; 5976; Real; -2.1905e+08; 2.1916e+08; 2; 2; 4; 47808; 37378; 37378; 37378; 37378; 37378; 37378
0; fs_760_2.mtx; Matrix; Coordinate; General; 760; 760; 5976; Real; -2.1905e+08; 2.19056e+08; 2; 2; 4; 47808; 37378; 37378; 37378; 37378; 37378; 37378
